patent_id,score,confidence,justification,tokens_in,tokens_out,elapsed
7702671,0.85,high,"The claim applies established machine learning techniques (confidence score thresholding, tracking user behavior) to a new data environment (failed queries in search sessions) without disclosing any technological improvement to the machine learning model itself.",673,66,4.5
7739087,0.15,medium,"The claim recites a specific technological improvement: using real-time clocks and radar signals to form a frame of reference for determining relative positions, which is a novel data processing technique rather than merely applying established ML to a new domain.",569,69,4.69
7844364,0.1,high,"The claim recites a specific technological improvement to the model itself, namely a dispersal velocity computation based on relative positions to achieve uniform separation within a boundary, which is a novel control algorithm for robotic devices, not merely applying established ML to a new domain.",464,74,4.73
7861304,0.15,high,"The claim recites a specific technological improvement to pattern matching by embedding a function that expands a deterministic finite state automaton into a non-deterministic one, enabling arbitrary scanning, calculations, and algorithmic analysis, which is a model-level improvement rather than merely applying established ML to a new domain.",644,82,4.79
7806832,0.85,high,"The claim applies established machine learning techniques to a new data environment (detecting atrial fibrillation from plethysmographic waveforms) without disclosing any technological improvement to the model itself, such as a new architecture, loss function, or training procedure.",554,72,4.91
7685241,0.85,high,"The claim applies established machine learning techniques (storing associations, monitoring services, determining active participation) to a new data environment (mapping user IDs between separate online services) without disclosing any technological improvement to the model itself.",607,69,5.7
7752220,0.95,high,"The claim applies established machine learning techniques (scoring based on bids, selecting alternative terms) to a new data environment (search query processing with bids) without disclosing any technological improvement to the model itself.",630,65,5.84
7767238,0.0,high,"The claim recites a specific chemical composition with a defined structural feature (C6-C3 phenylpropenoic carbonyl structure) and a functional effect (lessening degradation under fluorescent light), which is a technological improvement in the composition itself, not an application of established machine learning.",457,80,6.47
7788086,0.85,high,"The claim applies established clustering and sentiment analysis techniques to product reviews without disclosing any improvement to the machine learning models themselves, as it uses pre-defined keyword-based clustering and standard sentiment assignment.",788,61,1.6
7702647,0.85,high,"The claim recites generating nodes and nexuses as software objects with a tuple format, which is a data representation technique applied to information storage without disclosing any improvement to the underlying machine learning model or algorithm.",592,65,1.94
7779013,0.85,high,"The claim applies established graph-based traversal and weighting techniques to a new data environment (web search efficiency) without disclosing any improvement to the underlying machine learning model, architecture, or training procedure.",710,62,2.05
7725424,0.95,high,"The claim applies established machine learning techniques (e.g., query expansion, scoring, and selection) to a new data environment (banner advertisement presentation) without disclosing any technological improvement to the model itself.",724,65,2.23
7769582,0.85,high,"The claim applies established noise removal and uncertainty estimation techniques (correction vectors, variance functions, probability distributions) to a noisy signal without disclosing any improvement to the underlying machine learning model architecture, loss function, or training procedure.",495,69,2.39
7778837,0.85,high,"The claim applies established machine learning techniques (SVM, classification encoder, local language models) to a new data environment (query log summarization for local interests) without disclosing any technological improvement to the models themselves.",565,67,1.78
7827499,0.85,high,The claim applies established data visualization techniques (treemap-like hierarchical partitioning) to a new data environment (multi-attribute time-series hierarchical dataset) without disclosing any technological improvement to the underlying model or algorithm.,652,66,1.87
7644006,0.85,high,The claim applies established data mapping and visualization techniques to a new business process data environment without disclosing any improvement to the underlying machine learning model or data processing method.,476,56,1.64
7836108,0.85,high,"The claim applies established clustering and document comparison techniques to a web crawling environment without disclosing any improvement to the machine learning model itself, such as a new architecture or training procedure.",521,59,1.77
7856123,0.85,high,"The claim applies established linear discriminant analysis (LDA) and projection techniques to face recognition without disclosing any improvement to the underlying machine learning model, architecture, loss function, or training procedure.",619,62,1.8
7801758,0.85,high,"The claim applies established machine learning techniques (e.g., adaptive questioning based on expected answers) to a new data environment (regulatory compliance surveys) without disclosing any improvement to the underlying model architecture, loss function, training procedure, representation, or sampling method.",707,76,2.2
7852392,0.0,high,"The claim recites specific structural and material improvements to an image pick-up apparatus, such as an inorganic layer with defined surfaces and a flattening layer, and a columnar crystalline scintillator deposited on the flat surface, which are technological improvements to the device itself, not merely applying established machine learning to a new data environment.",583,88,2.13
7761742,0.85,high,"The claim applies established machine learning techniques (iterative training, dynamic updating of parameters based on effectiveness) to a system performance monitoring domain without disclosing any improvement to the machine learning model itself, as it merely uses a simple formula AE=½[I(t1)−I(t2)+1] for estimation.",650,86,2.32
7689490,0.85,high,"The claim applies established machine learning techniques (generating a service score based on attributes, matching resources using preference points) to a new data environment (securities research entity account management) without disclosing any technological improvement to the model itself.",670,71,1.93
7680753,0.85,high,"The claim applies established machine learning techniques (supervised training, detectors, reasoning engine) to a new data environment (fault identification in core electronic systems) without disclosing any specific technological improvement to the machine learning models themselves.",719,69,1.76
7720296,0.85,high,"The claim applies established machine learning techniques (test vectors, prediction vectors, image comparison, ranking) to a displacement vector determination problem without disclosing any improvement to the underlying model architecture, loss function, or training procedure.",602,67,1.9
7770136,0.85,high,"The claim applies established machine learning techniques (gesture recognition and similarity matching) to a new data environment (gesture recognition tutorial system) without disclosing any technological improvement to the model itself, such as a new architecture or training procedure.",632,71,1.95
7721310,0.85,high,"The claim applies established machine learning techniques (implicit/explicit recommenders, generating recommendation scores, updating user profile based on feedback) to a new data environment (program content preferences) without disclosing any technological improvement to the model itself.",510,71,2.21
7689424,0.85,high,"The claim applies established speech recognition techniques (modeling parameters, stored form association) to a distributed network environment with load balancing, without disclosing any improvement to the underlying machine learning model.",554,61,1.7
7647378,0.85,high,The claim applies established presence awareness and search limitation techniques to a collaborative computing environment without disclosing any technological improvement to the underlying machine learning models or algorithms.,641,54,1.65
7821578,0.1,high,"The claim recites specific technological improvements to noise reduction models, such as a spatial noise reducer, temporal noise reducer, tone-based skipping, and adaptive mode selection based on video characteristics, which go beyond merely applying established machine learning to a new data environment.",571,74,2.09
7783474,0.85,high,"The claim applies established machine learning techniques (pronunciation generation using component lists and language model lookups) to a new data environment (adding phrase pronunciations to a language model) without disclosing any improvement to the underlying model architecture, loss function, training procedure, representation, or sampling method.",633,81,1.96
7647405,0.85,high,"The claim applies established machine learning techniques (weight adjustment formulas) to a new data environment (server load balancing) without disclosing a technological improvement to the model itself, as it merely recites mathematical formulas and metrics like oscillation metrics and CPU delay metrics that are incident to the nature of load balancing.",678,83,2.29
7702618,0.85,high,The claim applies established indexing and information-retrieval techniques to a new data environment (archival index of documents with date ranges) without disclosing any technological improvement to the underlying machine learning model or indexing algorithm.,575,66,1.83
7720857,0.85,high,"The claim applies established machine learning techniques (semantic net, visualization graph, sectors, attractors) to a new data environment (entities and relations) without disclosing any technological improvement to the model itself.",776,65,1.9
7752612,0.85,high,"The claim applies established optimization techniques (identifying constraints, applying rules) to a database reorganization domain without disclosing any technological improvement to the underlying model or algorithm.",484,56,1.69
8001074,0.85,high,"The claim applies established fuzzy logic and rule generation techniques to time-series data without disclosing any improvement to the underlying machine learning model, such as a new architecture, loss function, or training procedure.",611,63,1.85
7996400,0.85,high,"The claim applies established machine learning techniques (statistical correlation, classification) to a new data environment (search expertise based on query and browsing behavior) without disclosing any technological improvement to the machine learning model itself.",678,66,1.7
8000974,0.85,high,"The claim applies established natural language processing and voice command processing techniques to a new data environment (voice command human interface) without disclosing any improvement to the machine learning model itself, such as a new architecture or training procedure.",474,68,2.01
8086462,0.85,high,"The claim applies established data analysis and comparison techniques to a new data environment (automated spoken dialog service) without disclosing any improvement to the machine learning model itself, as it merely extracts, analyzes, compares, and modifies based on trends.",511,72,2.22
8046368,0.85,high,"The claim applies established machine learning techniques (indexing, similarity computation, interval generation based on distribution percentages) to a document retrieval system without disclosing any improvement to the underlying model architecture, loss function, training procedure, representation, or sampling method.",648,73,2.48
8009889,0.85,high,"The claim applies established iterative optimization and error function techniques to biological probe array image data without disclosing any improvement to the underlying machine learning model, architecture, or training procedure.",694,58,2.02
7925347,0.85,high,The claim applies established physiological calculations (Fick principle) and basic data aggregation (histogram) to a new data environment (implantable sensor data) without disclosing any improvement to the underlying machine learning model or computational technique.,454,70,2.08
7877676,0.85,high,"The claim applies established data processing and selection techniques to media content scenes based on importance attributes, without disclosing any improvement to the underlying machine learning model or algorithm.",556,56,1.86
8037057,0.85,high,The claim applies established database index analysis and statistics updating techniques to a new data environment (SQL workload) without disclosing any improvement to the underlying machine learning model or algorithm.,436,58,1.68
8078466,0.85,high,"The claim applies established machine learning techniques (coarticulation library, animation library, noise producing entity) to a new data environment (synchronizing speech and animation) without disclosing any technological improvement to the model itself.",464,68,1.81
8036307,0.1,high,"The claim recites specific technological improvements to wireless communication signal processing, such as applying weight vectors from an orthogonalizing matrix per frequency bin and converting weighted symbols via inverse Fourier Transform, which are not merely applying established machine learning to a new data environment.",494,73,1.85
7873636,0.85,high,The claim applies established hierarchical tree matching to a new data environment (network document filtering) without disclosing any improvement to the tree structure or matching algorithm itself.,512,55,1.54
7917460,0.85,high,"The claim applies established machine learning techniques (preprocessing, information extraction, evidence classification, fusion engine) to a new data environment (text documents) without disclosing any technological improvement to the models themselves, such as a new architecture or training procedure.",660,73,2.13
7962483,0.85,high,"The claim applies established association rule mining techniques (frequent itemsets, support counts, lattice, vertical representation) to a generic dataset without disclosing any improvement to the underlying machine learning model, architecture, or training procedure.",529,68,2.02
7917448,0.1,high,"The claim recites a specific technological improvement to a user interface for online dating services, namely associating notes with profiles and messages in a thread list view, which is not merely applying established machine learning to a new data environment.",541,68,1.95
7996391,0.85,high,"The claim applies established machine learning techniques (e.g., storing web page information based on access metrics) to a new data environment (web search results) without disclosing any technological improvement to the model itself.",679,65,1.73
8036933,0.85,high,"The claim applies established machine learning techniques (e.g., comparing values to a threshold, adjusting quantity based on commercial intent) to a new data environment (advertising links) without disclosing any technological improvement to the model itself.",501,69,2.03
8069185,0.85,high,"The claim applies established lexical reference and similarity analysis techniques to generate a concept dictionary for querying an information system, without disclosing any technological improvement to the underlying models or methods.",536,59,1.76
8024178,0.85,high,"The claim applies established machine learning techniques (e.g., identifying sentences, determining popularity based on document count) to a new data environment (text fragment completion) without disclosing any improvement to the machine learning model itself.",600,67,1.91
7881913,0.3,medium,"The claim recites a specific technological improvement: selecting between PDE and exemplar algorithms based on a void complexity predictor metric, which is a new method for void inpainting, not merely applying established ML to a new domain.",467,69,2.06
7996019,0.85,high,"The claim applies established machine learning techniques (pattern identification, historical data storage, and parameter-based retrieval) to a new data environment (location-based services) without disclosing any technological improvement to the model itself.",489,65,1.71
7970660,0.85,high,"The claim applies established data mining techniques to identify items with higher user activity among a subset of users from a particular organization, without disclosing any technological improvement to the underlying machine learning model.",519,61,1.85
8085982,0.85,high,"The claim applies established machine learning models (adaptive model, pose model, alignment model) to a new data environment (video tracking) without disclosing any technological improvement to the models themselves.",558,61,1.69
8036894,0.85,high,"The claim applies established unit selection speech synthesis techniques (matching using concatenation costs and unit costs, parsing into word units) to a new data environment (audio segments) without disclosing any improvement to the underlying machine learning model.",595,70,2.2
7876958,0.85,high,"The claim applies established machine learning techniques (learned generative zone model, heuristic search) to a new data environment (digital image decomposition into zones) without disclosing any technological improvement to the model itself.",462,64,2.15
7984169,0.85,high,The claim applies established anonymization techniques (rewriting display size in HTTP headers) to a new data environment (search queries) without disclosing any technological improvement to the underlying model or method.,462,62,2.06
8013864,0.85,high,The claim applies established machine learning visualization techniques (color mapping of multivariate output) to a new data environment without disclosing any improvement to the underlying model or visualization method.,547,57,1.71
8081209,0.85,high,"The claim applies established machine learning techniques (sparse coding, associative learning, orientation-selective filters) to a new data environment (radar returns with natural images) without disclosing any improvement to the machine learning models themselves.",598,69,1.77
8086011,0.85,high,"The claim applies established iterative reconstruction and smoothing operations to tomographic reconstruction without disclosing any specific technological improvement to the model itself, such as a new architecture or training procedure.",494,58,1.67
7899995,0.15,high,"The claim recites a specific technological improvement to GPGPU memory management (flush command to ensure data availability in shared memory for dependent computations), not merely applying established ML to a new domain.",567,61,1.92
8051163,0.85,high,"The claim applies established monitoring and synthetic transaction generation techniques to a network system without disclosing any improvement to the underlying machine learning models, as it merely integrates traffic monitoring data and application runtime data to generate synthetic transactions based on comparing scope to target metrics and current load.",622,76,2.15
7885973,0.85,high,"The claim applies established machine learning techniques (template-based query generation) to a new data environment (investigation modeling) without disclosing any improvement to the model itself, such as a new architecture or training procedure.",547,66,1.87
7933877,0.85,high,"The claim recites generic clustering operations (organizing, partitioning) without specifying any technological improvement to the clustering model itself, applying established machine learning techniques to a new data environment (query-based retrieval).",578,64,1.82
8065227,0.95,high,"The claim applies established machine learning techniques (clustering via Euclidean distance, custom behavior models using standard attributes) to a new data environment (credit decisioning) without disclosing any technological improvement to the model itself.",689,66,2.24
8024326,0.85,high,"The claim applies established machine learning techniques (identifying related queries based on timing/sequencing, retrieving frequency data, and ranking) to a new data environment (search query context) without disclosing any technological improvement to the model itself.",555,71,1.9
8255248,0.95,high,"The claim applies established machine learning techniques (e.g., detecting, monitoring, targeting based on usage data) to a new data environment (business review solicitation) without disclosing any technological improvement to the model itself.",685,67,1.86
