patent_id,score,confidence,justification,tokens_in,tokens_out,elapsed
7685241,1.0,high,The claim applies generic data mapping and monitoring to a cross-service identity resolution problem without any disclosed technological improvement to machine learning models.,607,175,6.52
7767238,0.0,high,"The claim is a composition of matter with a stabilizer, not involving machine learning or data processing, and thus does not resemble the Recentive-vulnerable claims that apply established ML to a new data environment.",457,231,7.88
7806832,0.95,high,"""analyzing the set of pulse intervals and the set of pulse features ... to determine an atrial fibrillation state"" applies established machine learning to a new data environment without disclosing a specific technological improvement to the model.",554,237,8.53
7702671,0.9,high,"The claim recites 'employing a processor executing computer executable instructions' to track user behavior data and apply thresholds and confidence scores, which applies established computational methods to a new data environment without disclosing a technological improvement to the model itself.",673,257,8.64
7861304,0.2,high,"The claim recites specific technical steps like embedding a function that expands a deterministic finite state automaton, which is a technological improvement rather than applying generic ML to a new domain.",644,213,9.19
7739087,0.15,high,"The claim recites specific technical details such as 'three-dimensional, kinematic model of the at least two vehicles', 'radar signal of an adaptive cruise control system', and 'real-time clock in each of the two vehicles' to provide an identical time basis, which goes beyond applying established machine learning to a new data environment.",569,272,10.01
7844364,0.1,high,"The claim does not involve machine learning, so it does not apply established ML techniques to a new data environment.",464,302,10.39
7752220,0.95,high,The claim applies established bidding and scoring techniques to the search engine domain without disclosing any technological improvement to a machine learning model or any other technical component.,630,400,10.9
7769582,0.25,high,"The claim recites specific technical operations like 'applying a correction vector for a mixture component' and 'identifying an uncertainty associated with removing the noise by applying a variance for a prior probability distribution' which indicate a technological improvement to the model itself, rather than merely applying established machine learning to a new data environment.",495,237,4.91
7725424,1.0,high,"The claim recites steps such as 'defining a collection of categories', 'associating banner advertisements with the supercategory', and 'selecting the supercategory with the highest score' without disclosing any specific technological improvement to a machine learning model.",724,234,4.79
7779013,0.95,high,The claim applies established graph-based weighting and traversal probability methods to web search efficiency without disclosing a technological improvement to the model itself.,710,211,4.35
7788086,0.95,high,"The claim applies established keyword-based clustering and sentiment analysis to product reviews without disclosing any technological improvement to the machine learning model, e.g., 'clustering sub-document linguistic units ... based on pre-defined clustering criteria' and 'assigning a sentiment and a confidence measure.'",788,227,4.41
7827499,0.0,high,"The claim recites processing a hierarchical dataset to generate geometric nodes and aligning them in a dashboard view, with no mention of machine learning techniques.",652,159,3.79
7644006,0.95,high,The claim recites 'mapping the accessed execution data into one or more semantic concepts' without describing any technological improvement to the mapping model itself.,476,165,3.35
7836108,0.95,high,"The claim applies established clustering techniques to a document management environment without disclosing any improvement to the machine learning model itself, as seen in 'identifying documents in a current clustering operation; assigning the identified documents to one or more clusters; selecting a current representative document for each of the one or more clusters'.",521,208,3.92
7778837,0.95,high,"The claim applies established machine learning techniques, such as a support vector machine (SVM) with a learning phase, to process query logs and form localized language models, without disclosing any specific technological improvement to the machine learning model itself.",565,264,5.06
7702647,0.1,high,"The claim recites a specific data structure (tuple S = [Label], N, C>) and method for generating nodes and nexuses, which is a technological improvement to information representation rather than applying established machine learning to a new data environment.",592,387,7.79
7801758,0.95,high,"The claim applies established survey branching logic to a regulatory compliance context without disclosing any improvement to the underlying machine learning model, architecture, or training procedure.",707,231,4.86
7852392,0.0,high,"The claim recites specific structural components and layers of an image pick-up apparatus, with no mention of machine learning or data processing.",583,218,4.06
7770136,0.95,high,The claim applies conventional gesture recognition methods to a tutorial system without disclosing any improvement to the underlying recognition model.,632,185,3.75
7856123,0.95,high,"The claim recites 'a vector base comprising discriminating components ... aiming jointly at a minimization of the variance in each of the classes and a maximization of the variance between different classes,' which is a standard linear discriminant analysis objective applied to face recognition without disclosing any improvement to the underlying machine learning model.",619,355,6.56
7689490,0.95,high,The claim applies established methods of generating a service score and matching resources based on preference points to the new data environment of securities research entity account allocation without disclosing any technological improvement to the scoring or matching models themselves.,670,211,4.6
7680753,0.95,high,"The claim recites using detectors and an offline supervised training subsystem to identify faults in a core electronic system, applying established machine learning to a new data environment without disclosing any improvement to the machine learning models themselves.",719,298,5.55
7761742,0.9,high,The claim applies a simple mathematical function (AE=½[I(t1)−I(t2)+1]) to estimate action effectiveness in a system monitoring environment without disclosing any technological improvement to a machine learning model or computational technique.,650,402,7.75
7721310,0.9,high,"The claim recites 'generating program recommendation scores, using implicit/explicit recommenders' without specifying any improvement to the recommender model itself.",510,239,4.96
